#,Vertex Instructions / Second,Fragment Instructions / Second
0,9110438.24701195,1935531872.50996
1,9146880,1943274000
2,9239333.33333333,1962903030.30303
3,9109482.07171315,1935531872.50996
4,9111394.42231076,1935531872.50996
5,9146560,1943274000
6,9204467.9245283,1955495849.0566
7,9147200,1943274000
8,9109800.79681275,1935531872.50996
9,9146560,1943274000
10,9134921.34831461,1940847940.07491
11,9146880,1943274000
12,9072380.95238095,1927851190.47619
13,9145280,1943274000
14,9204166.03773585,1955495849.0566
15,9147520,1943274000
