#,Vertex Instructions / Second,Fragment Instructions / Second
0,250091081.712062,34664093.385214
1,249121736.434109,34529736.4341085
2,249126077.51938,35549643.4108527
4,250091081.712062,34664093.385214
5,249121736.434109,34529736.4341085
9,249121736.434109,34529736.4341085
13,248161729.72973,34790826.2548263
15,251068000,34799500
17,249123596.899225,34809023.2558139
20,249121736.434109,34529736.4341085
21,251069875,35080968.75
25,250092949.416342,34944466.92607
33,250092949.416342,34944466.92607
