#,Vertex Instructions / Second,Fragment Instructions / Second
0,172072369.230769,500601046.153846
1,240531268.817204,699764903.225806
2,284701556.363636,828267185.454545
3,309458213.438735,900290418.972332
4,229038307.167235,666329037.542662
5,284701556.363636,828267185.454545
6,215090461.538462,625751307.692308
7,183355803.278689,533427344.262295
8,211032150.943396,613944679.245283
9,271850444.444444,790880125
10,221479287.128713,644337980.19802
11,299972904.214559,872695310.344828
12,267363442.231076,777826326.693227
13,291051776.951673,846741546.468401
14,282645949.458484,822286916.967509
15,267363442.231076,777826326.693227
16,296564121.212121,862778318.181818
17,280619813.620072,816392387.096774
18,296564121.212121,862778318.181818
19,205853447.852761,598878552.147239
20,214266360.153257,623353793.103448
21,252286556.390977,733963939.849624
22,227485505.084746,661811552.542373
23,170758839.694656,496779664.122137
24,294334315.789474,856291263.157895
25,219307921.568627,638020941.176471
26,245817670.32967,715144351.648352
27,297691741.444867,866058844.106464
28,208669850.746269,607072164.179104
29,272797658.536585,793635804.878049
30,282645949.458484,822286916.967509
31,201163741.007194,585235035.971223
32,304641743.190661,886278116.731518
33,216757829.457364,630602093.023256
34,221041581.027668,643064584.980237
35,271850444.444444,790880125
