#,Vertex Instructions / Second,Fragment Instructions / Second
0,6412589.64143426,1971253625.49801
1,6287343.75,1932752578.125
2,6430202.24719101,1976667805.24345
3,6478732.0754717,1991586052.83019
4,6271844.35797665,2050818614.78599
5,6238604.65116279,1917770000
6,6438240,1979138640
7,6438240,1979138640
8,6412589.64143426,1971253625.49801
9,6438240,1979138640
10,6438240,1979138640
11,6412589.64143426,1971253625.49801
12,6438240,1979138640
13,6438240,1979138640
14,6478732.0754717,1991586052.83019
15,6412589.64143426,1971253625.49801
16,6438240,1979138640
17,6478732.0754717,1991586052.83019
18,6438240,1979138640
19,6387142.85714286,1963431190.47619
20,6454375.93984962,1984098887.21805
21,6438240,1979138640
22,6464096.38554217,1987086987.95181
