#,Vertex Instructions / Second,Fragment Instructions / Second
0,220260156.862745,641395686.27451
1,254338143.396226,740630490.566038
2,203501231.884058,592593840.57971
3,208796802.973978,608014498.141264
4,224665360,654223600
5,244201478.26087,711112608.695652
6,175519812.5,511112187.5
7,284901724.637681,829631376.811594
8,208023481.481481,605762592.592592
9,265352787.401575,772705039.370079
10,266401612.648221,775759209.486166
11,233216636.678201,679124844.290658
12,215334210.86262,627051373.801917
13,268524334.661355,781940557.768924
14,295612315.789474,860820526.315789
15,260230146.718147,757787953.667954
16,211151654.135338,614871804.511278
17,206493897.058824,601308455.882353
18,268524334.661355,781940557.768924
19,158215042.253521,460720845.070423
