#,Vertex Instructions / Second,Fragment Instructions / Second
0,102108079.051383,2047259699.60474
1,103964981.132075,1833147124.5283
2,104367515.151515,1962347393.93939
3,102503809.52381,1927305476.19048
4,103974279.245283,1954942309.43396
5,101297882.352941,1904631294.11765
6,105164519.083969,1977327145.03817
7,102912509.960159,1934983984.06375
8,103323840,1942723920
9,103583097.744361,1947592902.25564
10,102912191.23506,1934983984.06375
11,102107762.84585,2047259699.60474
12,103974279.245283,1954942309.43396
13,103186217.228464,1819415685.39326
14,103324160,1942723920
15,103583097.744361,1947592902.25564
16,102098972.332016,1919687667.98419
17,103333056,2071826816
18,103314944,1813621024
19,102922007.968127,2063572525.89641
20,104358787.878788,1840090863.63636
21,102912509.960159,1934983984.06375
22,103583097.744361,1947592902.25564
23,103739437.751004,1950526024.09639
24,103973977.358491,1954942309.43396
25,102503809.52381,1927305476.19048
26,102912509.960159,1934983984.06375
27,102504444.444444,1927305476.19048
28,104367818.181818,1962347393.93939
