#,Vertex Instructions / Second,Fragment Instructions / Second
0,193032000,714237264.705882
1,201941169.230769,747202061.538461
2,234695356.321839,868395754.789272
3,184227031.578947,681658021.052632
4,169588837.209302,627495271.317829
5,218769600,809468900
6,159105163.636364,588704654.545455
7,190926196.363636,706445585.454545
8,190926196.363636,706445585.454545
9,252730223.826715,935126527.075812
10,182308000,674557416.666667
11,174318406.374502,644995139.442231
12,256433230.769231,948828014.652014
13,188865841.726619,698822071.942446
14,200399633.587786,741498229.007634
15,162051555.555556,599606592.592592
16,210499958.762887,778870419.243986
17,227715568.773234,842569858.736059
18,218769600,809468900
19,227715568.773234,842569858.736059
20,148822857.142857,550659115.646259
21,220343482.014388,815292417.266187
22,155707900.355872,576134448.398577
23,231152784.90566,855287894.339623
24,200399633.587786,741498229.007634
